id,Overs remaining,Runs Scored,Wickets Remaining,Runs required,Match Boolean
2879,8,101,5,112,False
2880,7,108,5,105,False
2881,6,123,5,90,False
2882,5,134,5,79,False
2883,4,150,4,63,False
2884,3,159,3,54,False
2885,2,168,3,45,False
2886,1,176,2,37,False
2887,0,176,2,37,False
2888,19,7,10,164,False
2889,18,23,10,148,False
2890,17,27,9,144,False
2891,16,33,8,138,False
2892,15,35,8,136,False
2893,14,43,8,128,False
2894,13,46,8,125,False
2895,12,50,7,121,False
2896,11,53,7,118,False
2897,10,62,7,109,False
2898,9,69,7,102,False
2899,8,81,7,90,False
2900,7,93,6,78,False
2901,6,97,6,74,False
2902,5,111,6,60,False
2903,4,116,6,55,False
2904,3,126,6,45,False
2905,2,147,6,24,False
2906,1,158,6,13,False
2907,0,170,6,1,False
2908,19,8,9,171,False
2909,18,12,9,167,False
2910,17,21,9,158,False
2911,16,34,9,145,False
2912,15,49,9,130,False
2913,14,59,8,120,False
2914,13,65,7,114,False
2915,12,67,6,112,False
2916,11,75,6,104,False
2917,10,80,6,99,False
2918,9,83,5,96,False
2919,8,85,3,94,False
2920,7,86,2,93,False
2921,6,89,2,90,False
2922,5,92,2,87,False
2923,4,99,1,80,False
2924,3,99,1,80,False
2925,19,2,9,169,True
2926,18,7,8,164,True
2927,17,15,8,156,True
2928,16,24,7,147,True
2929,15,28,7,143,True
2930,14,32,7,139,True
2931,13,40,7,131,True
2932,12,45,6,126,True
2933,11,51,5,120,True
2934,10,56,5,115,True
2935,9,75,5,96,True
2936,8,77,5,94,True
2937,7,91,5,80,True
2938,6,95,5,76,True
2939,5,106,5,65,True
2940,4,115,5,56,True
2941,3,131,5,40,True
2942,2,149,5,22,True
2943,1,158,5,13,True
2944,0,173,5,0,True
2945,19,4,10,149,False
2946,18,6,10,147,False
2947,17,21,10,132,False
2948,16,29,10,124,False
2949,15,36,9,117,False
2950,14,46,9,107,False
2951,13,51,8,102,False
2952,12,58,8,95,False
2953,11,65,7,88,False
2954,10,67,7,86,False
2955,9,85,7,68,False
2956,8,88,7,65,False
2957,7,92,6,61,False
2958,6,92,5,61,False
2959,5,103,5,50,False
2960,4,105,4,48,False
2961,3,112,4,41,False
2962,2,117,3,36,False
2963,1,123,2,30,False
2964,0,133,2,20,False
2965,19,5,10,230,False
2966,18,15,10,220,False
2967,17,31,10,204,False
2968,16,47,10,188,False
2969,15,60,10,175,False
2970,14,70,9,165,False
2971,13,79,9,156,False
2972,12,95,8,140,False
2973,11,100,7,135,False
2974,10,105,6,130,False
2975,9,111,6,124,False
2976,8,127,6,108,False
2977,7,138,6,97,False
2978,6,142,6,93,False
2979,5,156,6,79,False
2980,4,166,5,69,False
2981,3,176,4,59,False
2982,2,179,3,56,False
2983,1,182,2,53,False
2984,0,193,2,42,False
2985,19,2,10,175,False
2986,18,15,10,162,False
2987,17,19,9,158,False
2988,16,20,8,157,False
2989,15,32,7,145,False
2990,14,36,7,141,False
2991,13,45,7,132,False
2992,12,50,7,127,False
2993,11,52,6,125,False
2994,10,55,6,122,False
2995,9,66,6,111,False
2996,8,73,6,104,False
2997,7,82,6,95,False
2998,6,91,5,86,False
2999,5,98,5,79,False
3000,4,108,4,69,False
3001,3,116,4,61,False
3002,2,125,4,52,False
3003,1,134,4,43,False
3004,0,137,2,40,False
3005,19,15,9,168,False
3006,18,18,8,165,False
3007,17,25,8,158,False
3008,16,30,8,153,False
3009,15,31,7,152,False
3010,14,33,7,150,False
3011,13,38,7,145,False
3012,12,52,7,131,False
3013,11,57,7,126,False
3014,10,67,7,116,False
3015,9,77,6,106,False
3016,8,85,6,98,False
3017,7,95,6,88,False
3018,6,108,6,75,False
3019,5,112,6,71,False
3020,4,123,5,60,False
3021,3,128,4,55,False
3022,2,143,4,40,False
3023,1,153,3,30,False
3024,0,162,3,21,False
3025,19,6,9,182,False
3026,18,12,8,176,False
3027,17,17,7,171,False
3028,16,29,7,159,False
3029,15,35,6,153,False
3030,14,45,6,143,False
3031,13,50,4,138,False
3032,12,54,4,134,False
3033,11,59,4,129,False
3034,10,66,3,122,False
3035,9,80,3,108,False
3036,8,84,3,104,False
3037,7,97,3,91,False
3038,6,104,3,84,False
3039,5,111,3,77,False
3040,4,123,3,65,False
3041,3,127,2,61,False
3042,2,136,2,52,False
3043,1,147,1,41,False
3044,0,154,1,34,False
3045,19,1,10,170,True
3046,18,5,10,166,True
3047,17,18,10,153,True
3048,16,33,10,138,True
3049,15,46,10,125,True
3050,14,56,10,115,True
3051,13,65,10,106,True
3052,12,78,10,93,True
3053,11,82,9,89,True
3054,10,84,9,87,True
3055,9,88,9,83,True
3056,8,103,9,68,True
3057,7,119,9,52,True
3058,6,123,9,48,True
3059,5,126,9,45,True
3060,4,146,9,25,True
3061,3,161,9,10,True
3062,2,165,9,6,True
3063,1,170,9,1,True
3064,0,177,8,0,True
3065,19,5,10,150,True
3066,18,6,9,149,True
3067,17,14,8,141,True
3068,16,16,8,139,True
3069,15,32,8,123,True
3070,14,36,8,119,True
3071,13,38,7,117,True
3072,12,45,7,110,True
3073,11,50,7,105,True
3074,10,59,7,96,True
3075,9,61,6,94,True
3076,8,73,6,82,True
3077,7,79,6,76,True
3078,6,89,6,66,True
3079,5,97,5,58,True
3080,4,116,5,39,True
3081,3,119,5,36,True
3082,2,128,5,27,True
3083,1,152,5,3,True
3084,0,158,4,0,True
3085,19,16,10,155,True
3086,18,27,10,144,True
3087,17,33,10,138,True
3088,16,44,10,127,True
3089,15,46,10,125,True
3090,14,61,10,110,True
3091,13,71,10,100,True
3092,12,91,10,80,True
3093,11,94,9,77,True
3094,10,96,9,75,True
3095,9,102,9,69,True
3096,8,107,8,64,True
3097,7,112,7,59,True
3098,6,123,7,48,True
3099,5,133,7,38,True
3100,4,146,7,25,True
3101,3,151,7,20,True
3102,2,172,7,0,True
3103,19,5,10,166,True
3104,18,9,10,162,True
3105,17,18,10,153,True
3106,16,28,10,143,True
3107,15,42,10,129,True
3108,14,52,10,119,True
3109,13,63,10,108,True
3110,12,68,10,103,True
3111,11,78,9,93,True
3112,10,89,9,82,True
3113,9,101,9,70,True
3114,8,106,8,65,True
3115,7,112,8,59,True
3116,6,115,8,56,True
3117,5,127,7,44,True
3118,4,132,7,39,True
3119,3,141,6,30,True
3120,2,146,4,25,True
3121,1,168,4,3,True
3122,0,172,2,0,True
3123,19,7,10,125,False
3124,18,11,10,121,False
3125,17,13,9,119,False
3126,16,19,9,113,False
3127,15,19,8,113,False
3128,14,24,7,108,False
3129,13,28,7,104,False
3130,12,31,7,101,False
3131,11,39,7,93,False
3132,10,43,7,89,False
3133,9,50,7,82,False
3134,8,57,6,75,False
3135,7,62,5,70,False
3136,6,66,3,66,False
3137,5,75,3,57,False
3138,4,85,3,47,False
3139,3,95,2,37,False
3140,2,107,1,25,False
3141,1,109,1,23,False
3142,19,10,10,199,False
3143,18,15,10,194,False
3144,17,24,10,185,False
3145,16,32,9,177,False
3146,15,37,9,172,False
3147,14,46,9,163,False
3148,13,58,8,151,False
3149,12,62,8,147,False
3150,11,69,8,140,False
3151,10,80,8,129,False
3152,9,88,8,121,False
3153,8,93,7,116,False
3154,7,99,7,110,False
3155,6,102,7,107,False
3156,5,115,6,94,False
3157,4,132,6,77,False
3158,3,138,5,71,False
3159,2,145,5,64,False
3160,1,150,5,59,False
3161,0,164,4,45,False
3162,19,12,10,150,True
3163,18,16,10,146,True
3164,17,19,10,143,True
3165,16,29,9,133,True
3166,15,39,9,123,True
3167,14,52,9,110,True
3168,13,62,9,100,True
3169,12,73,9,89,True
3170,11,82,9,80,True
3171,10,96,8,66,True
3172,9,99,8,63,True
3173,8,113,8,49,True
3174,7,122,7,40,True
3175,6,135,7,27,True
3176,5,135,7,27,True
3177,4,146,7,16,True
3178,3,155,7,7,True
3179,2,163,7,0,True
3180,19,1,10,125,True
3181,18,10,9,116,True
3182,17,15,9,111,True
3183,16,28,9,98,True
3184,15,30,9,96,True
3185,14,36,9,90,True
3186,13,40,8,86,True
3187,12,42,8,84,True
3188,11,49,8,77,True
3189,10,53,8,73,True
3190,9,57,8,69,True
3191,8,60,7,66,True
3192,7,61,6,65,True
3193,6,69,6,57,True
3194,5,77,6,49,True
3195,4,80,6,46,True
3196,3,97,4,29,True
3197,2,115,4,11,True
3198,1,127,4,0,True
3199,19,2,10,161,True
3200,18,14,10,149,True
3201,17,19,10,144,True
3202,16,27,9,136,True
3203,15,36,9,127,True
3204,14,41,9,122,True
3205,13,44,7,119,True
3206,12,51,7,112,True
3207,11,61,7,102,True
3208,10,75,7,88,True
3209,9,80,7,83,True
3210,8,87,7,76,True
3211,7,102,7,61,True
3212,6,107,7,56,True
3213,5,112,6,51,True
3214,4,125,6,38,True
3215,3,139,6,24,True
3216,2,146,3,17,True
3217,1,156,3,7,True
3218,0,164,3,0,True
3219,19,8,10,160,False
3220,18,18,10,150,False
3221,17,28,10,140,False
3222,16,38,10,130,False
3223,15,42,10,126,False
3224,14,48,10,120,False
3225,13,52,9,116,False
3226,12,57,9,111,False
3227,11,60,8,108,False
3228,10,63,7,105,False
3229,9,65,6,103,False
3230,8,69,6,99,False
3231,7,73,6,95,False
3232,6,76,5,92,False
3233,5,86,5,82,False
3234,4,96,5,72,False
3235,3,107,5,61,False
3236,2,109,2,59,False
3237,1,119,2,49,False
3238,0,128,1,40,False
3239,19,1,9,159,True
3240,18,9,9,151,True
3241,17,15,9,145,True
3242,16,27,9,133,True
3243,15,40,9,120,True
3244,14,53,9,107,True
3245,13,62,9,98,True
3246,12,68,9,92,True
3247,11,77,8,83,True
3248,10,87,8,73,True
3249,9,90,8,70,True
3250,8,97,8,63,True
3251,7,110,7,50,True
3252,6,116,7,44,True
3253,5,121,7,39,True
3254,4,126,7,34,True
3255,3,142,7,18,True
3256,2,151,7,9,True
3257,1,163,7,0,True
3258,19,10,10,220,False
3259,18,23,10,207,False
3260,17,29,10,201,False
3261,16,37,10,193,False
3262,15,52,10,178,False
3263,14,68,10,162,False
3264,13,82,10,148,False
3265,12,87,10,143,False
3266,11,104,9,126,False
3267,10,108,8,122,False
3268,9,117,8,113,False
3269,8,120,7,110,False
3270,7,123,6,107,False
3271,6,137,6,93,False
3272,5,148,6,82,False
3273,4,175,6,55,False
3274,3,192,5,38,False
3275,2,208,4,22,False
3276,1,215,4,15,False
3277,0,223,4,7,False
3278,19,9,10,155,False
3279,18,21,10,143,False
3280,17,26,9,138,False
3281,16,37,7,127,False
3282,15,43,6,121,False
3283,14,46,6,118,False
3284,13,50,6,114,False
3285,12,55,5,109,False
3286,11,61,5,103,False
3287,10,68,4,96,False
3288,9,72,4,92,False
3289,8,74,4,90,False
3290,7,79,4,85,False
3291,6,92,4,72,False
3292,5,93,3,71,False
3293,4,96,3,68,False
3294,3,110,3,54,False
3295,2,114,3,50,False
3296,1,121,2,43,False
3297,0,127,1,37,False
3298,19,11,10,151,False
3299,18,24,10,138,False
3300,17,25,8,137,False
3301,16,40,8,122,False
3302,15,47,8,115,False
3303,14,49,8,113,False
3304,13,57,8,105,False
3305,12,62,8,100,False
3306,11,73,8,89,False
3307,10,83,8,79,False
3308,9,88,7,74,False
3309,8,95,7,67,False
3310,7,100,7,62,False
3311,6,105,7,57,False
3312,5,109,6,53,False
3313,4,117,6,45,False
3314,3,120,5,42,False
3315,2,130,5,32,False
3316,1,137,4,25,False
3317,0,144,2,18,False
3318,19,1,9,143,True
3319,18,8,9,136,True
3320,17,11,9,133,True
3321,16,26,9,118,True
3322,15,46,9,98,True
3323,14,52,9,92,True
3324,13,57,9,87,True
3325,12,61,8,83,True
3326,11,71,8,73,True
3327,10,79,8,65,True
3328,9,88,8,56,True
3329,8,91,8,53,True
3330,7,99,8,45,True
3331,6,103,7,41,True
3332,5,116,6,28,True
3333,4,122,6,22,True
3334,3,123,6,21,True
3335,2,132,5,12,True
3336,1,142,4,2,True
3337,0,145,4,0,True
3338,19,2,10,141,True
3339,18,10,10,133,True
3340,17,18,9,125,True
3341,16,30,9,113,True
3342,15,35,9,108,True
3343,14,43,9,100,True
3344,13,58,9,85,True
3345,12,62,9,81,True
3346,11,69,9,74,True
3347,10,76,9,67,True
3348,9,84,9,59,True
3349,8,97,9,46,True
3350,7,104,8,39,True
3351,6,113,8,30,True
3352,5,117,8,26,True
3353,4,145,8,0,True
3354,19,15,10,161,False
3355,18,30,10,146,False
3356,17,36,10,140,False
3357,16,45,10,131,False
3358,15,59,10,117,False
3359,14,61,9,115,False
3360,13,69,9,107,False
3361,12,78,9,98,False
3362,11,79,8,97,False
3363,10,82,8,94,False
3364,9,88,7,88,False
3365,8,94,7,82,False
3366,7,103,7,73,False
3367,6,108,6,68,False
3368,5,114,6,62,False
3369,4,121,5,55,False
3370,3,126,5,50,False
3371,2,136,4,40,False
3372,1,156,3,20,False
3373,0,175,3,1,False
3374,19,2,10,158,True
3375,18,7,10,153,True
3376,17,20,10,140,True
3377,16,26,10,134,True
3378,15,43,9,117,True
3379,14,49,9,111,True
3380,13,53,9,107,True
3381,12,57,8,103,True
3382,11,71,8,89,True
3383,10,78,6,82,True
3384,9,100,6,60,True
3385,8,116,6,44,True
3386,7,142,5,18,True
3387,6,154,4,6,True
3388,5,161,4,0,True
3389,19,8,10,128,False
3390,18,14,10,122,False
3391,17,27,10,109,False
3392,16,33,9,103,False
3393,15,33,8,103,False
3394,14,39,8,97,False
3395,13,43,7,93,False
3396,12,47,7,89,False
3397,11,54,7,82,False
3398,10,59,7,77,False
3399,9,61,6,75,False
3400,8,68,5,68,False
3401,7,73,5,63,False
3402,6,76,5,60,False
3403,5,84,5,52,False
3404,4,89,3,47,False
3405,3,91,2,45,False
3406,2,96,1,40,False
3407,19,9,9,205,True
3408,18,25,9,189,True
3409,17,39,9,175,True
3410,16,50,9,164,True
3411,15,72,9,142,True
3412,14,84,8,130,True
3413,13,88,8,126,True
3414,12,99,8,115,True
3415,11,110,8,104,True
3416,10,129,8,85,True
3417,9,134,7,80,True
3418,8,153,7,61,True
3419,7,167,7,47,True
3420,6,176,7,38,True
3421,5,182,6,32,True
3422,4,189,6,25,True
3423,3,198,5,16,True
3424,2,207,5,7,True
3425,1,211,4,3,True
3426,0,215,4,0,True
3427,19,6,10,164,True
3428,18,8,9,162,True
3429,17,14,9,156,True
3430,16,24,9,146,True
3431,15,43,9,127,True
3432,14,51,9,119,True
3433,13,60,9,110,True
3434,12,65,9,105,True
3435,11,70,9,100,True
3436,10,81,9,89,True
3437,9,89,8,81,True
3438,8,97,8,73,True
3439,7,109,8,61,True
3440,6,115,7,55,True
3441,5,128,7,42,True
3442,4,143,6,27,True
3443,3,157,6,13,True
3444,2,171,6,0,True
3445,19,10,10,155,True
3446,18,11,10,154,True
3447,17,22,10,143,True
3448,16,27,10,138,True
3449,15,37,10,128,True
3450,14,40,9,125,True
3451,13,46,9,119,True
3452,12,54,9,111,True
3453,11,69,8,96,True
3454,10,76,8,89,True
3455,9,80,7,85,True
3456,8,94,7,71,True
3457,7,104,7,61,True
3458,6,109,6,56,True
3459,5,118,6,47,True
3460,4,126,6,39,True
3461,3,136,6,29,True
3462,2,155,6,10,True
3463,1,163,5,2,True
3464,0,166,5,0,True
3465,19,19,10,172,False
3466,18,27,9,164,False
3467,17,32,8,159,False
3468,16,32,6,159,False
3469,15,37,6,154,False
3470,14,41,5,150,False
3471,13,45,5,146,False
3472,12,56,5,135,False
3473,11,66,5,125,False
3474,10,74,5,117,False
3475,9,81,4,110,False
3476,8,93,4,98,False
3477,7,96,4,95,False
3478,6,101,4,90,False
3479,5,107,3,84,False
3480,4,112,3,79,False
3481,3,123,3,68,False
3482,2,127,2,64,False
3483,1,129,1,62,False
3484,0,131,1,60,False
3485,19,6,10,132,True
3486,18,16,10,122,True
3487,17,32,10,106,True
3488,16,35,9,103,True
3489,15,45,9,93,True
3490,14,46,8,92,True
3491,13,49,8,89,True
3492,12,53,8,85,True
3493,11,58,7,80,True
3494,10,62,7,76,True
3495,9,72,7,66,True
3496,8,88,7,50,True
3497,7,97,7,41,True
3498,6,102,7,36,True
3499,5,112,7,26,True
3500,4,114,6,24,True
3501,3,118,6,20,True
3502,2,126,5,12,True
3503,1,139,5,0,True
3504,19,4,10,145,False
3505,18,13,10,136,False
3506,17,15,9,134,False
3507,16,32,9,117,False
3508,15,38,9,111,False
3509,14,50,9,99,False
3510,13,57,9,92,False
3511,12,65,9,84,False
3512,11,70,9,79,False
3513,10,77,9,72,False
3514,9,87,9,62,False
3515,8,89,9,60,False
3516,7,96,9,53,False
3517,6,102,8,47,False
3518,5,108,8,41,False
3519,4,115,8,34,False
3520,3,116,6,33,False
3521,2,123,5,26,False
3522,1,134,3,15,False
3523,0,143,1,6,False
3524,19,2,10,191,False
3525,18,10,10,183,False
3526,17,20,10,173,False
3527,16,29,10,164,False
3528,15,45,10,148,False
3529,14,51,10,142,False
3530,13,56,10,137,False
3531,12,61,10,132,False
3532,11,78,10,115,False
3533,10,89,10,104,False
3534,9,97,9,96,False
3535,8,102,8,91,False
3536,7,115,8,78,False
3537,6,123,8,70,False
3538,5,127,7,66,False
3539,4,140,6,53,False
3540,3,149,5,44,False
3541,2,175,5,18,False
3542,1,175,3,18,False
3543,0,190,3,3,False
3544,19,12,9,112,True
3545,18,20,8,104,True
3546,17,28,8,96,True
3547,16,39,7,85,True
3548,15,45,7,79,True
3549,14,55,7,69,True
3550,13,71,7,53,True
3551,12,83,7,41,True
3552,11,87,7,37,True
3553,10,97,6,27,True
3554,9,107,6,17,True
3555,8,113,6,11,True
3556,7,119,6,5,True
3557,6,125,6,0,True
3558,19,6,10,139,True
3559,18,13,10,132,True
3560,17,30,10,115,True
3561,16,51,10,94,True
3562,15,58,9,87,True
3563,14,64,9,81,True
3564,13,67,9,78,True
3565,12,79,9,66,True
3566,11,82,9,63,True
3567,10,87,9,58,True
3568,9,96,9,49,True
3569,8,104,9,41,True
3570,7,109,8,36,True
3571,6,112,8,33,True
3572,5,117,8,28,True
3573,4,128,8,17,True
3574,3,131,8,14,True
3575,2,138,7,7,True
3576,1,148,7,0,True
3577,19,10,10,133,True
3578,18,19,10,124,True
3579,17,27,10,116,True
3580,16,29,10,114,True
3581,15,29,9,114,True
3582,14,34,9,109,True
3583,13,43,9,100,True
3584,12,46,8,97,True
3585,11,51,8,92,True
3586,10,59,8,84,True
3587,9,61,7,82,True
3588,8,68,7,75,True
3589,7,81,7,62,True
3590,6,92,7,51,True
3591,5,92,6,51,True
3592,4,109,6,34,True
3593,3,115,6,28,True
3594,2,125,6,18,True
3595,1,138,6,5,True
3596,0,144,6,0,True
3597,19,5,10,191,False
3598,18,15,10,181,False
3599,17,20,10,176,False
3600,16,27,9,169,False
3601,15,38,8,158,False
3602,14,43,7,153,False
3603,13,49,7,147,False
3604,12,54,7,142,False
3605,11,61,7,135,False
3606,10,63,7,133,False
3607,9,70,7,126,False
3608,8,75,7,121,False
3609,7,91,6,105,False
3610,6,97,5,99,False
3611,5,105,5,91,False
3612,4,115,5,81,False
3613,3,118,4,78,False
3614,2,121,2,75,False
3615,1,127,2,69,False
3616,0,137,1,59,False
3617,19,0,10,232,False
3618,18,5,9,227,False
3619,17,6,9,226,False
3620,16,17,9,215,False
3621,15,27,8,205,False
3622,14,34,8,198,False
3623,13,43,7,189,False
3624,12,55,6,177,False
3625,11,62,6,170,False
3626,10,69,6,163,False
3627,9,76,5,156,False
3628,8,84,5,148,False
3629,7,89,4,143,False
3630,6,95,3,137,False
3631,5,97,2,135,False
3632,4,110,1,122,False
3633,3,121,1,111,False
3634,19,8,9,197,True
3635,18,24,9,181,True
3636,17,39,9,166,True
3637,16,55,9,150,True
3638,15,66,9,139,True
3639,14,86,9,119,True
3640,13,95,9,110,True
3641,12,113,8,92,True
3642,11,125,8,80,True
3643,10,131,7,74,True
3644,9,141,7,64,True
3645,8,156,7,49,True
3646,7,159,7,46,True
3647,6,166,6,39,True
3648,5,169,6,36,True
3649,4,175,6,30,True
3650,3,180,6,25,True
3651,2,202,6,3,True
3652,1,211,6,0,True
3653,19,12,10,196,False
3654,18,17,10,191,False
3655,17,27,10,181,False
3656,16,40,10,168,False
3657,15,58,10,150,False
3658,14,65,9,143,False
3659,13,67,9,141,False
3660,12,77,8,131,False
3661,11,85,8,123,False
3662,10,99,8,109,False
3663,9,105,8,103,False
3664,8,108,7,100,False
3665,7,111,6,97,False
3666,6,115,6,93,False
3667,5,128,6,80,False
3668,4,133,6,75,False
3669,3,149,5,59,False
3670,2,170,5,38,False
3671,1,196,5,12,False
3672,0,204,3,4,False
3673,19,12,10,80,True
3674,18,32,10,60,True
3675,17,35,10,57,True
3676,16,44,10,48,True
3677,15,52,10,40,True
3678,14,59,10,33,True
3679,13,62,10,30,True
3680,12,67,10,25,True
3681,11,85,10,7,True
3682,10,90,10,2,True
3683,9,93,10,0,True
3684,19,11,10,182,False
3685,18,16,9,177,False
3686,17,22,9,171,False
3687,16,31,9,162,False
3688,15,33,7,160,False
3689,14,45,7,148,False
3690,13,49,7,144,False
3691,12,54,6,139,False
3692,11,64,6,129,False
3693,10,74,6,119,False
3694,9,79,5,114,False
3695,8,84,5,109,False
3696,7,92,5,101,False
3697,6,95,4,98,False
3698,5,99,3,94,False
3699,4,108,3,85,False
3700,3,113,3,80,False
3701,2,116,2,77,False
3702,1,120,1,73,False
3703,0,121,1,72,False
3704,19,11,10,153,True
3705,18,17,10,147,True
3706,17,28,10,136,True
3707,16,33,10,131,True
3708,15,37,10,127,True
3709,14,41,10,123,True
3710,13,46,8,118,True
3711,12,55,8,109,True
3712,11,67,8,97,True
3713,10,77,8,87,True
3714,9,90,7,74,True
3715,8,101,7,63,True
3716,7,108,7,56,True
3717,6,110,7,54,True
3718,5,129,7,35,True
3719,4,140,7,24,True
3720,3,148,7,16,True
3721,2,158,7,6,True
3722,1,167,7,0,True
3723,19,2,10,147,True
3724,18,10,10,139,True
3725,17,22,10,127,True
3726,16,41,10,108,True
3727,15,48,10,101,True
3728,14,55,10,94,True
3729,13,68,10,81,True
3730,12,72,9,77,True
3731,11,79,9,70,True
3732,10,89,9,60,True
3733,9,91,9,58,True
3734,8,102,9,47,True
3735,7,110,9,39,True
3736,6,113,9,36,True
3737,5,123,9,26,True
3738,4,131,9,18,True
3739,3,139,9,10,True
3740,2,150,9,0,True
3741,19,6,10,156,True
3742,18,11,9,151,True
3743,17,22,9,140,True
3744,16,33,9,129,True
3745,15,43,8,119,True
3746,14,46,8,116,True
3747,13,49,8,113,True
3748,12,61,8,101,True
3749,11,62,7,100,True
3750,10,66,7,96,True
3751,9,75,7,87,True
3752,8,82,6,80,True
3753,7,91,5,71,True
3754,6,97,5,65,True
3755,5,116,5,46,True
3756,4,118,4,44,True
3757,3,129,4,33,True
3758,2,139,4,23,True
3759,1,158,4,4,True
3760,0,163,4,0,True
3761,19,10,10,277,False
3762,18,21,10,266,False
3763,17,39,10,248,False
3764,16,56,10,231,False
3765,15,70,10,217,False
3766,14,79,10,208,False
3767,13,84,9,203,False
3768,12,100,9,187,False
3769,11,111,8,176,False
3770,10,122,6,165,False
3771,9,127,5,160,False
3772,8,135,5,152,False
3773,7,160,5,127,False
3774,6,181,5,106,False
3775,5,187,4,100,False
3776,4,199,4,88,False
3777,3,216,4,71,False
3778,2,230,4,57,False
3779,1,244,3,43,False
3780,0,262,3,25,False
3781,19,6,10,146,True
3782,18,11,10,141,True
3783,17,15,10,137,True
3784,16,21,9,131,True
3785,15,25,9,127,True
3786,14,32,8,120,True
3787,13,40,8,112,True
3788,12,46,8,106,True
3789,11,50,8,102,True
3790,10,59,8,93,True
3791,9,75,8,77,True
3792,8,85,8,67,True
3793,7,96,7,56,True
3794,6,101,7,51,True
3795,5,107,7,45,True
3796,4,114,7,38,True
3797,3,122,7,30,True
3798,2,135,7,17,True
3799,1,152,7,0,True
3800,0,158,7,0,True
3801,19,8,10,176,True
3802,18,23,10,161,True
3803,17,35,10,149,True
3804,16,39,9,145,True
3805,15,43,9,141,True
3806,14,59,9,125,True
3807,13,63,9,121,True
3808,12,73,9,111,True
3809,11,82,9,102,True
3810,10,93,9,91,True
3811,9,97,8,87,True
3812,8,105,8,79,True
3813,7,114,8,70,True
3814,6,129,8,55,True
3815,5,139,8,45,True
3816,4,148,7,36,True
3817,3,158,7,26,True
3818,2,165,7,19,True
3819,1,172,7,12,True
3820,0,187,7,0,True
3821,19,3,10,133,False
3822,18,14,10,122,False
3823,17,16,10,120,False
3824,16,17,10,119,False
3825,15,30,10,106,False
3826,14,33,10,103,False
3827,13,37,10,99,False
3828,12,39,9,97,False
3829,11,42,8,94,False
3830,10,44,8,92,False
3831,9,49,8,87,False
3832,8,51,7,85,False
3833,7,59,7,77,False
3834,6,65,6,71,False
3835,5,73,5,63,False
3836,4,75,4,61,False
3837,3,85,3,51,False
3838,2,88,2,48,False
3839,1,102,2,34,False
3840,0,113,1,23,False
3841,19,9,10,231,False
3842,18,16,10,224,False
3843,17,27,10,213,False
3844,16,37,10,203,False
3845,15,47,10,193,False
3846,14,63,9,177,False
3847,13,69,9,171,False
3848,12,84,9,156,False
3849,11,97,9,143,False
3850,10,110,9,130,False
3851,9,115,8,125,False
3852,8,127,8,113,False
3853,7,141,8,99,False
3854,6,152,8,88,False
3855,5,165,7,75,False
3856,4,176,7,64,False
3857,3,186,7,54,False
3858,2,191,6,49,False
3859,1,198,6,42,False
3860,0,207,6,33,False
3861,19,9,10,163,False
3862,18,16,9,156,False
3863,17,28,9,144,False
3864,16,33,9,139,False
3865,15,42,8,130,False
3866,14,45,8,127,False
3867,13,50,8,122,False
3868,12,58,8,114,False
3869,11,69,8,103,False
3870,10,73,8,99,False
3871,9,82,8,90,False
3872,8,90,7,82,False
3873,7,97,7,75,False
3874,6,105,7,67,False
3875,5,113,7,59,False
3876,4,118,7,54,False
3877,3,124,6,48,False
3878,2,129,6,43,False
3879,1,140,4,32,False
3880,0,149,4,23,False
3881,19,6,10,142,True
3882,18,14,10,134,True
3883,17,26,10,122,True
3884,16,43,10,105,True
3885,15,50,10,98,True
3886,14,62,10,86,True
3887,13,67,9,81,True
3888,12,78,9,70,True
3889,11,85,8,63,True
3890,10,97,8,51,True
3891,9,107,8,41,True
3892,8,119,8,29,True
3893,7,127,8,21,True
3894,6,143,8,5,True
3895,5,150,8,0,True
3896,19,6,10,167,True
3897,18,21,10,152,True
3898,17,36,10,137,True
3899,16,44,9,129,True
3900,15,54,9,119,True
3901,14,63,9,110,True
3902,13,71,9,102,True
3903,12,74,9,99,True
3904,11,80,9,93,True
3905,10,88,9,85,True
3906,9,98,9,75,True
3907,8,107,9,66,True
3908,7,117,9,56,True
3909,6,122,9,51,True
3910,5,126,9,47,True
3911,4,130,8,43,True
3912,3,136,8,37,True
3913,2,154,8,19,True
3914,1,168,8,5,True
3915,0,174,8,0,True
3916,19,3,10,169,False
3917,18,9,10,163,False
3918,17,22,10,150,False
3919,16,32,9,140,False
3920,15,39,9,133,False
3921,14,41,8,131,False
3922,13,46,8,126,False
3923,12,52,8,120,False
3924,11,59,8,113,False
3925,10,72,8,100,False
3926,9,74,7,98,False
3927,8,84,7,88,False
3928,7,88,6,84,False
3929,6,95,5,77,False
3930,5,102,4,70,False
3931,4,115,4,57,False
3932,3,134,4,38,False
3933,2,138,2,34,False
3934,1,146,1,26,False
3935,0,157,1,15,False
3936,19,2,10,193,True
3937,18,20,10,175,True
3938,17,31,10,164,True
3939,16,40,10,155,True
3940,15,47,10,148,True
3941,14,59,10,136,True
3942,13,68,10,127,True
3943,12,73,9,122,True
3944,11,81,9,114,True
3945,10,91,8,104,True
3946,9,96,8,99,True
3947,8,109,8,86,True
3948,7,121,8,74,True
3949,6,127,7,68,True
3950,5,135,7,60,True
3951,4,140,6,55,True
3952,3,149,5,46,True
