id,Overs remaining,Runs Scored,Wickets Remaining,Runs required,Match Boolean
263,6,126,7,54,True
264,5,133,7,47,True
265,4,152,7,28,True
266,3,159,6,21,True
267,2,168,6,12,True
268,1,181,5,0,True
269,19,4,10,167,False
270,18,11,10,160,False
271,17,15,10,156,False
272,16,24,10,147,False
273,15,34,10,137,False
274,14,36,10,135,False
275,13,38,10,133,False
276,12,51,10,120,False
277,11,54,10,117,False
278,10,64,9,107,False
279,9,71,9,100,False
280,8,85,8,86,False
281,7,95,8,76,False
282,6,97,6,74,False
283,5,106,6,65,False
284,4,113,5,58,False
285,3,130,5,41,False
286,2,137,5,34,False
287,1,143,5,28,False
288,0,158,4,13,False
289,19,11,10,204,False
290,18,18,9,197,False
291,17,24,9,191,False
292,16,39,9,176,False
293,15,47,8,168,False
294,14,51,8,164,False
295,13,60,8,155,False
296,12,69,8,146,False
297,11,82,7,133,False
298,10,96,7,119,False
299,9,105,7,110,False
300,8,116,6,99,False
301,7,129,6,86,False
302,6,142,6,73,False
303,5,149,6,66,False
304,4,158,5,57,False
305,3,165,4,50,False
306,2,172,3,43,False
307,1,186,3,29,False
308,0,194,2,21,False
309,19,1,10,124,True
310,18,11,9,114,True
311,17,24,9,101,True
312,16,36,9,89,True
313,15,45,9,80,True
314,14,57,9,68,True
315,13,64,9,61,True
316,12,75,9,50,True
317,11,79,9,46,True
318,10,89,9,36,True
319,9,96,9,29,True
320,8,104,9,21,True
321,7,114,9,11,True
322,6,120,9,5,True
323,5,123,9,2,True
324,4,127,9,0,True
325,19,0,9,164,False
326,18,10,8,154,False
327,17,17,8,147,False
328,16,29,8,135,False
329,15,34,8,130,False
330,14,45,7,119,False
331,13,49,6,115,False
332,12,54,6,110,False
333,11,61,5,103,False
334,10,67,5,97,False
335,9,71,4,93,False
336,8,78,4,86,False
337,7,82,3,82,False
338,6,84,2,80,False
339,5,90,1,74,False
340,4,97,1,67,False
341,3,100,1,64,False
342,2,103,1,61,False
343,1,109,1,55,False
344,0,109,1,55,False
345,19,2,9,129,True
346,18,4,9,127,True
347,17,13,9,118,True
348,16,23,9,108,True
349,15,35,9,96,True
350,14,48,8,83,True
351,13,49,8,82,True
352,12,54,8,77,True
353,11,55,7,76,True
354,10,60,7,71,True
355,9,64,7,67,True
356,8,68,6,63,True
357,7,72,6,59,True
358,6,81,6,50,True
359,5,87,6,44,True
360,4,97,6,34,True
361,3,104,6,27,True
362,2,114,6,17,True
363,1,123,6,8,True
364,0,132,6,0,True
365,19,5,10,154,False
366,18,10,10,149,False
367,17,22,10,137,False
368,16,34,9,125,False
369,15,45,9,114,False
370,14,56,8,103,False
371,13,62,8,97,False
372,12,64,8,95,False
373,11,72,8,87,False
374,10,80,8,79,False
375,9,84,8,75,False
376,8,88,7,71,False
377,7,96,7,63,False
378,6,104,7,55,False
379,5,110,6,49,False
380,4,117,6,42,False
381,3,121,4,38,False
382,2,132,4,27,False
383,1,144,3,15,False
384,0,159,3,0,False
385,19,8,10,137,False
386,18,9,9,136,False
387,17,13,9,132,False
388,16,19,9,126,False
389,15,23,9,122,False
390,14,26,7,119,False
391,13,30,7,115,False
392,12,38,7,107,False
393,11,49,7,96,False
394,10,54,7,91,False
395,9,56,7,89,False
396,8,64,6,81,False
397,7,76,6,69,False
398,6,80,5,65,False
399,5,98,5,47,False
400,4,107,4,38,False
401,3,118,4,27,False
402,2,132,4,13,False
403,1,142,3,3,False
404,0,143,1,2,False
405,19,10,10,105,True
406,18,12,10,103,True
407,17,16,9,99,True
408,16,17,8,98,True
409,15,30,8,85,True
410,14,48,8,67,True
411,13,60,8,55,True
412,12,66,8,49,True
413,11,69,8,46,True
414,10,78,8,37,True
415,9,92,8,23,True
416,8,101,8,14,True
417,7,111,8,4,True
418,6,119,7,0,True
419,19,6,10,166,False
420,18,8,9,164,False
421,17,12,8,160,False
422,16,13,8,159,False
423,15,24,8,148,False
424,14,32,7,140,False
425,13,38,7,134,False
426,12,43,7,129,False
427,11,48,7,124,False
428,10,60,7,112,False
429,9,63,7,109,False
430,8,67,7,105,False
431,7,86,7,86,False
432,6,99,7,73,False
433,5,106,7,66,False
434,4,115,6,57,False
435,3,142,6,30,False
436,2,146,5,26,False
437,1,153,4,19,False
438,0,157,3,15,False
439,19,4,10,156,True
440,18,8,10,152,True
441,17,18,10,142,True
442,16,34,10,126,True
443,15,40,10,120,True
444,14,60,10,100,True
445,13,67,10,93,True
446,12,74,10,86,True
447,11,78,10,82,True
448,10,79,9,81,True
449,9,89,9,71,True
450,8,100,8,60,True
451,7,114,8,46,True
452,6,120,8,40,True
453,5,132,8,28,True
454,4,137,8,23,True
455,3,148,8,12,True
456,2,152,7,8,True
457,1,157,7,3,True
458,0,161,7,0,True
459,19,2,10,154,False
460,18,8,10,148,False
461,17,20,10,136,False
462,16,31,10,125,False
463,15,45,10,111,False
464,14,48,9,108,False
465,13,57,9,99,False
466,12,63,8,93,False
467,11,66,8,90,False
468,10,69,8,87,False
469,9,73,7,83,False
470,8,83,7,73,False
471,7,88,6,68,False
472,6,95,5,61,False
473,5,99,4,57,False
474,4,107,4,49,False
475,3,118,4,38,False
476,2,125,4,31,False
477,1,140,3,16,False
478,0,149,2,7,False
479,19,14,10,175,True
480,18,20,10,169,True
481,17,26,10,163,True
482,16,46,10,143,True
483,15,56,9,133,True
484,14,67,9,122,True
485,13,74,9,115,True
486,12,85,9,104,True
487,11,89,8,100,True
488,10,95,8,94,True
489,9,106,8,83,True
490,8,113,8,76,True
491,7,127,8,62,True
492,6,140,8,49,True
493,5,143,7,46,True
494,4,151,7,38,True
495,3,163,7,26,True
496,2,179,7,10,True
497,1,182,6,7,True
498,0,190,6,0,True
499,19,15,10,230,False
500,18,23,10,222,False
501,17,36,10,209,False
502,16,43,10,202,False
503,15,51,10,194,False
504,14,58,8,187,False
505,13,69,8,176,False
506,12,79,8,166,False
507,11,93,7,152,False
508,10,101,6,144,False
509,9,105,6,140,False
510,8,119,6,126,False
511,7,126,5,119,False
512,6,141,5,104,False
513,5,150,5,95,False
514,4,170,4,75,False
515,3,181,4,64,False
516,2,190,4,55,False
517,1,208,4,37,False
518,0,214,2,31,False
519,19,21,10,132,True
520,18,24,9,129,True
521,17,41,9,112,True
522,16,56,9,97,True
523,15,59,9,94,True
524,14,84,9,69,True
525,13,87,9,66,True
526,12,91,9,62,True
527,11,98,8,55,True
528,10,102,8,51,True
529,9,115,7,38,True
530,8,120,7,33,True
531,7,131,7,22,True
532,6,137,6,16,True
533,5,146,6,7,True
534,4,148,6,5,True
535,3,152,6,1,True
536,2,154,6,0,True
537,19,14,10,144,True
538,18,20,10,138,True
539,17,34,10,124,True
540,16,59,10,99,True
541,15,85,10,73,True
542,14,105,10,53,True
543,13,105,9,53,True
544,12,110,8,48,True
545,11,115,8,43,True
546,10,126,8,32,True
547,9,136,8,22,True
548,8,141,8,17,True
549,7,152,8,6,True
550,6,156,7,2,True
551,5,157,6,1,True
552,4,159,6,0,True
553,19,10,10,151,True
554,18,13,10,148,True
555,17,29,10,132,True
556,16,36,9,125,True
557,15,44,9,117,True
558,14,44,8,117,True
559,13,47,8,114,True
560,12,57,8,104,True
561,11,61,8,100,True
562,10,70,7,91,True
563,9,81,7,80,True
564,8,83,6,78,True
565,7,96,6,65,True
566,6,109,6,52,True
567,5,120,6,41,True
568,4,121,5,40,True
569,3,130,5,31,True
570,2,138,5,23,True
571,1,154,5,7,True
572,0,162,5,0,True
573,19,9,10,176,True
574,18,21,10,164,True
575,17,32,10,153,True
576,16,48,10,137,True
577,15,54,10,131,True
578,14,66,9,119,True
579,13,71,9,114,True
580,12,79,9,106,True
581,11,93,9,92,True
582,10,103,9,82,True
583,9,112,8,73,True
584,8,119,8,66,True
585,7,132,8,53,True
586,6,144,8,41,True
587,5,146,7,39,True
588,4,156,7,29,True
589,3,175,7,10,True
590,2,186,7,0,True
591,19,10,10,129,True
592,18,16,10,123,True
593,17,36,10,103,True
594,16,46,10,93,True
595,15,50,9,89,True
596,14,55,9,84,True
597,13,64,9,75,True
598,12,73,9,66,True
599,11,81,9,58,True
600,10,84,8,55,True
601,9,88,8,51,True
602,8,96,8,43,True
603,7,105,7,34,True
604,6,119,7,20,True
605,5,123,7,16,True
606,4,128,7,11,True
607,3,132,6,7,True
608,2,140,6,0,True
609,19,4,10,150,True
610,18,11,10,143,True
611,17,19,9,135,True
612,16,19,9,135,True
613,15,21,9,133,True
614,14,43,9,111,True
615,13,50,9,104,True
616,12,56,9,98,True
617,11,75,9,79,True
618,10,80,8,74,True
619,9,95,8,59,True
620,8,104,8,50,True
621,7,110,8,44,True
622,6,115,8,39,True
623,5,117,8,37,True
624,4,135,8,19,True
625,3,145,8,9,True
626,2,158,8,0,True
627,19,5,9,174,False
628,18,14,9,165,False
629,17,25,9,154,False
630,16,31,9,148,False
631,15,40,9,139,False
632,14,46,8,133,False
633,13,48,7,131,False
634,12,51,5,128,False
635,11,53,5,126,False
636,10,56,5,123,False
637,9,66,4,113,False
638,8,71,3,108,False
639,7,78,2,101,False
640,6,78,1,101,False
641,5,85,1,94,False
642,4,87,1,92,False
643,19,12,10,126,True
644,18,20,10,118,True
645,17,33,10,105,True
646,16,44,10,94,True
647,15,55,10,83,True
648,14,65,10,73,True
649,13,72,10,66,True
650,12,80,10,58,True
651,11,83,9,55,True
652,10,93,9,45,True
653,9,98,8,40,True
654,8,107,8,31,True
655,7,110,8,28,True
656,6,112,7,26,True
657,5,117,7,21,True
658,4,124,6,14,True
659,3,137,6,1,True
660,2,141,6,0,True
661,19,0,9,160,False
662,18,6,9,154,False
663,17,12,9,148,False
664,16,21,8,139,False
665,15,27,8,133,False
666,14,31,8,129,False
667,13,38,8,122,False
668,12,45,8,115,False
669,11,47,7,113,False
670,10,48,7,112,False
671,9,61,7,99,False
672,8,72,7,88,False
673,7,77,6,83,False
674,6,84,6,76,False
675,5,90,6,70,False
676,4,96,6,64,False
677,3,106,6,54,False
678,2,118,6,42,False
679,1,128,5,32,False
680,0,139,3,21,False
681,19,1,10,175,True
682,18,5,10,171,True
683,17,15,10,161,True
684,16,24,9,152,True
685,15,37,9,139,True
686,14,55,9,121,True
687,13,58,9,118,True
688,12,61,9,115,True
689,11,68,9,108,True
690,10,83,9,93,True
691,9,87,8,89,True
692,8,91,8,85,True
693,7,98,8,78,True
694,6,101,7,75,True
695,5,115,7,61,True
696,4,121,7,55,True
697,3,130,6,46,True
698,2,147,6,29,True
699,1,166,6,10,True
700,0,179,6,0,True
701,19,6,10,181,False
702,18,15,10,172,False
703,17,43,10,144,False
704,16,49,10,138,False
705,15,53,10,134,False
706,14,64,9,123,False
707,13,67,9,120,False
708,12,72,9,115,False
709,11,82,9,105,False
710,10,98,8,89,False
711,9,109,8,78,False
712,8,116,8,71,False
713,7,118,7,69,False
714,6,119,6,68,False
715,5,125,6,62,False
716,4,134,5,53,False
717,3,144,4,43,False
718,2,153,3,34,False
719,1,161,2,26,False
720,0,168,2,19,False
721,19,12,10,137,True
722,18,26,10,123,True
723,17,29,10,120,True
724,16,41,10,108,True
725,15,48,10,101,True
726,14,54,9,95,True
727,13,59,8,90,True
728,12,66,8,83,True
729,11,75,8,74,True
730,10,79,8,70,True
731,9,86,8,63,True
732,8,95,8,54,True
733,7,106,8,43,True
734,6,115,8,34,True
735,5,123,8,26,True
736,4,127,8,22,True
737,3,149,7,0,True
738,2,153,7,0,True
739,19,4,10,216,False
740,18,11,10,209,False
741,17,14,10,206,False
742,16,30,10,190,False
743,15,46,10,174,False
744,14,57,10,163,False
745,13,61,9,159,False
746,12,70,9,150,False
747,11,74,8,146,False
748,10,82,8,138,False
749,9,89,7,131,False
750,8,100,7,120,False
751,7,109,6,111,False
752,6,126,6,94,False
753,5,129,5,91,False
754,4,140,5,80,False
755,3,142,4,78,False
756,2,149,2,71,False
757,1,158,2,62,False
758,0,165,2,55,False
759,19,8,10,206,False
760,18,22,10,192,False
761,17,25,10,189,False
762,16,33,10,181,False
763,15,42,10,172,False
764,14,53,10,161,False
765,13,67,10,147,False
766,12,78,10,136,False
767,11,88,9,126,False
768,10,92,8,122,False
769,9,98,7,116,False
770,8,101,7,113,False
771,7,115,7,99,False
772,6,119,6,95,False
773,5,125,5,89,False
774,4,135,5,79,False
775,3,149,5,65,False
776,2,163,5,51,False
777,1,181,5,33,False
778,0,196,4,18,False
779,19,16,10,73,True
780,18,39,10,50,True
781,17,46,9,43,True
782,16,50,9,39,True
783,15,58,9,31,True
784,14,65,8,24,True
785,13,70,8,19,True
786,12,75,7,14,True
787,11,85,7,4,True
788,10,89,7,0,True
789,9,96,6,0,True
790,8,99,5,0,True
791,7,105,4,0,True
792,19,7,10,148,True
